anio,deflactor_hasta_1986,pib_per_capita_eur_a_1986,pib_per_capita_pct_desde_1995,total_nacional_vivienda_m2_eur_corriente,total_nacional_vivienda_m2_eur_a_1986,total_nacional_vivienda_m2_pct_desde_1995,andalucia_vivienda_m2_eur_corriente,andalucia_vivienda_m2_eur_a_1986,andalucia_vivienda_m2_pct_desde_1995,cataluna_vivienda_m2_eur_corriente,cataluna_vivienda_m2_eur_a_1986,cataluna_vivienda_m2_pct_desde_1995,madrid_vivienda_m2_eur_corriente,madrid_vivienda_m2_eur_a_1986,madrid_vivienda_m2_pct_desde_1995,comunidad_valenciana_vivienda_m2_eur_corriente,comunidad_valenciana_vivienda_m2_eur_a_1986,comunidad_valenciana_vivienda_m2_pct_desde_1995,pais_vasco_vivienda_m2_eur_corriente,pais_vasco_vivienda_m2_eur_a_1986,pais_vasco_vivienda_m2_pct_desde_1995
1995,0.62,7163.3,0.0,683.025,423.4755,0.0,509.52500000000003,315.9055,0.0,746.075,462.5665,0.0,1089.5,675.49,0.0,484.25,300.235,0.0,919.775,570.2605,0.0
1996,0.6,7318.4,2.1652031884745737,692.3,415.37999999999994,-1.9116808410404085,507.45,304.46999999999997,-3.6199116507943163,763.925,458.35499999999996,-0.9104636846810288,1080.975,648.5849999999999,-3.983034537891028,502.79999999999995,301.67999999999995,0.48128965643576826,952.15,571.29,0.1805315290117404
1997,0.59,7587.08,5.91598844108161,711.65,419.8735,-0.8505804940309503,513.0,302.66999999999996,-4.1897023002132165,790.95,466.6605,0.8850619316357777,1053.5,621.5649999999999,-7.983093754163651,520.025,306.81474999999995,2.1915332989158376,950.325,560.69175,-1.6779612124634302
1998,0.57,7939.61,10.83732357991427,752.95,429.18149999999997,1.3474215155304003,541.175,308.4697499999999,-2.3537893452314385,847.375,483.00374999999997,4.418229595096035,1062.675,605.72475,-10.328095160550122,558.125,318.13124999999997,5.96074741452528,1012.05,576.8684999999999,1.1587686680034626
1999,0.56,8275.28,15.523292337330563,810.65,453.96400000000006,7.1995900589290285,590.9,330.904,4.7477805862829126,964.075,539.8820000000001,16.714461596332654,1124.825,629.902,-6.748878591837027,618.925,346.598,15.442236914417041,1179.55,660.548,15.832676469788808
2000,0.54,8674.65,21.098516047073268,880.225,475.32150000000007,12.242975095371534,666.05,359.667,13.852718613636018,1092.375,589.8825,27.523826303893607,1251.1,675.594,0.01539623088424591,700.9,378.486,26.063250453811172,1428.85,771.579,35.30290104259368
2001,0.52,9000.89,25.652841567433992,967.0,502.84000000000003,18.74122587965539,771.75,401.31,27.03482528794212,1225.475,637.247,37.76332700271203,1431.05,744.146,10.163881034508272,796.025,413.933,37.86966875947173,1647.025,856.4530000000001,50.18627451839994
2002,0.51,9300.17,29.83080423827007,1119.1,570.741,34.77544745799934,895.575,456.74325000000005,44.58224057510871,1355.2,691.152,49.416786559337964,1722.9,878.6790000000001,30.080238049415996,921.925,470.18174999999997,56.60457641514145,1853.0,945.03,65.7190003515937
2003,0.49,9472.84,32.24128544106766,1316.275,644.9747500000001,52.305092030117464,1058.35,518.5915,64.16032642673204,1542.8,755.972,63.42990683501721,2065.775,1012.2297500000001,49.85118210484243,1065.65,522.1685,73.91992938864556,2079.75,1019.0775,78.70385551866208
2004,0.48,9688.88,35.25721385394998,1545.95,742.056,75.2299719818502,1276.775,612.852,93.99852170981511,1804.675,866.2439999999999,87.26907374399137,2406.7,1155.216,71.01896401131029,1215.5,583.4399999999999,94.3277765750162,2261.25,1085.3999999999999,90.33406662393763
2005,0.46,9935.24,38.69641087208409,1761.0,810.0600000000001,91.28851610069533,1468.775,675.6365000000001,113.87297783672649,2012.7749999999999,925.8765,100.16073364586498,2705.725,1244.6335,84.25639165642718,1431.2,658.3520000000001,119.27889819641284,2513.5,1156.21,102.7511987942353
2006,0.45,10225.53,42.748872726257446,1944.275,874.92375,106.6055179107174,1633.625,735.13125,132.70606241423462,2256.55,1015.4475000000001,119.524652131099,2911.85,1310.3325,93.98251639550548,1570.1750000000002,706.5787500000001,135.3418988459041,2777.225,1249.75125,119.15444783568212
2007,0.44,10482.09,46.33046221713455,2056.35,904.794,113.65911369134696,1739.7,765.4680000000001,142.30917157187832,2397.5750000000003,1054.9330000000002,128.06083017252655,3000.875,1320.385,95.47069534708137,1645.425,723.987,141.14010691624893,2933.225,1290.619,126.32095331870259
2008,0.42,10201.68,42.41592562087306,2071.075,869.8514999999999,105.40775086162006,1781.775,748.3455,136.8890380192811,2463.35,1034.607,123.66665117339886,2914.15,1223.943,81.19335593421071,1670.45,701.5889999999999,133.67995070528082,2995.9,1258.278,120.64968553845131
2009,0.42,9755.29,36.18430053187778,1917.025,805.1505,90.12918102700156,1653.625,694.5224999999999,119.8513479505738,2303.15,967.323,109.12085073173263,2665.475,1119.4995,65.7314690076833,1541.6,647.472,115.6550701950139,2782.25,1168.5449999999998,104.91424533173874
2010,0.41,9544.72,33.24473357251545,1843.025,755.64025,78.43777266925713,1580.725,648.0972499999999,105.155418313388,2233.1,915.5709999999999,97.93283776494836,2529.075,1036.9207499999998,53.50645457371681,1453.05,595.7505,98.42806468266522,2660.325,1090.7332499999998,91.26929710193848
2011,0.4,9153.42,27.78216743679589,1740.1999999999998,696.0799999999999,64.37314555387499,1489.65,595.86,88.61969797930075,2098.5,839.4000000000001,81.46580005253298,2317.05,926.8200000000002,37.20706450132498,1357.225,542.89,80.82168967642012,2586.8,1034.72,81.44690014475842
2012,0.39,8623.37,20.38264487038097,1588.125,619.36875,46.25846123329449,1333.675,520.13325,64.64836794547735,1877.95,732.4005000000001,58.33409898901023,2078.6,810.654,20.00977068498424,1212.625,472.92375000000004,57.517861008876395,2523.475,984.15525,72.57994372747191
2013,0.38,8445.8,17.903759440481327,1495.35,568.233,34.18320540385451,1247.575,474.0785,50.06972021696361,1697.9,645.202,39.48307973015772,2022.6,768.588,13.782291373669487,1142.625,434.1975,44.619214948290484,2504.675,951.7765,66.90205616555944
2014,0.39,8607.94,20.167241355241305,1459.4,569.166,34.40352511538449,1208.075,471.14925000000005,49.14246507262456,1662.6,648.414,40.17746637510498,2014.575,785.68425,16.31323187611955,1122.25,437.6775,45.77830699285559,2434.775,949.5622500000001,66.51376870745915
2015,0.39,9064.5,26.54084011558917,1475.2,575.3280000000001,35.85862700439579,1215.975,474.23024999999996,50.117756734213216,1684.6499999999999,657.0135,42.03655042031795,2074.925,809.2207500000001,19.797591378110724,1138.2,443.898,47.850184022515705,2408.95,939.4905,64.7476021923314
2016,0.39,9390.19,31.087487610458876,1502.625,586.0237500000001,38.384333922505554,1215.625,474.09375,50.074547609965634,1762.95,687.5505,48.638195805359885,2169.125,845.95875,25.236309937970947,1153.1750000000002,449.7382500000001,49.79541026196151,2369.4,924.066,62.04278570933812
2017,0.38,9577.78,33.706252704758974,1538.625,584.6775,38.06642887250855,1232.25,468.255,48.22628919091309,1856.775,705.5745000000001,52.53471662993321,2289.55,870.0290000000001,28.799686153755076,1152.45,437.93100000000004,45.862740852998485,2386.875,907.0125,59.05231030379976
2018,0.37,9725.29,35.76549914145717,1590.7,588.559,38.983010823530506,1268.275,469.26175,48.544976266636695,1954.5,723.165,56.33752119965452,2484.35,919.2094999999999,36.080400894165706,1181.45,437.1365,45.59811481006544,2364.125,874.7262499999999,53.39064339893784
2019,0.37,9932.49,38.65802074462887,1641.2,607.244,43.39530858337732,1308.15,484.01550000000003,53.21528115211669,2029.2,750.804,62.312662071291356,2626.45,971.7864999999999,43.86393580956045,1225.4,453.398,51.01437207520776,2402.775,889.02675,55.89835697895962
2020,0.37,8907.37,24.347298033029485,1623.1,600.5469999999999,41.813871168461915,1301.275,481.47175000000004,52.41005617186152,2001.9,740.703,60.1289760499301,2602.525,962.93425,42.553442686050126,1206.0,446.21999999999997,48.62357819707894,2382.1,881.377,54.55690864087552
2021,0.36,9424.47,31.566037999246156,1657.575,596.727,40.91181189938968,1337.5,481.5,52.41899871955378,2046.45,736.722,59.26834303824422,2676.25,963.4499999999999,42.629794667574636,1253.775,451.35900000000004,50.33523739737207,2433.95,876.2219999999999,53.65293580740731
2022,0.33,9648.03,34.686945960660594,1740.975,574.52175,35.668238186152436,1410.625,465.50625,47.356171386696346,2143.675,707.4127500000001,52.9321189493835,2876.975,949.40175,40.55008216257827,1316.8,434.544,44.734624544107106,2510.825,828.5722499999999,45.29714928528277
2023,0.32,10041.48,40.17952619602696,1809.075,578.904,36.70306782800894,1493.075,477.78400000000005,51.24269757886457,2197.375,703.16,52.0127376279951,3011.25,963.6,42.65200076981155,1391.825,445.384,48.34512964844204,2545.975,814.712,42.86663726489912
2024,0.32,10559.01,47.40426898217302,1913.625,612.36,44.60340680865835,1597.075,511.064,61.7774935858983,2306.425,738.056,59.55673400473229,3239.95,1036.7839999999999,53.48621001051086,1501.55,480.496,60.03996869119188,2602.475,832.792,46.037118124085396
2025,0.32,,,2127.575,680.824,60.770575865663986,1774.75,567.92,79.77528089887637,2535.725,811.432,75.41953427236949,3685.575,1179.384,74.59681120371877,1707.825,546.504,82.02541342614951,2835.375,907.32,59.10623302858957
